Temperature °C,Vapor pressure (kPa),
056,
20,2.3388,
25,3.169,
30,4.2455,
35,5.6267,
40,7.3814,
45,9.5898,
50,12.344,
55,15.752,
60,19.932,
65,25.022,
70,31.176,
75,38.563,
80,47.373,
85,57.815,
90,70.117,
95,84.529,
100,101.32,
110,143.24,
120,198.48,
130,270.02,
140,361.19,
150,475.72,
160,617.66,
170,791.47,
180,1001.9,
190,1254.2,
200,1553.6,
210,1906.2,
220,2317.8,
230,2795.1,
240,3344.7,
250,3973.6,
260,4689.4,
270,5499.9,
280,6413.2,
290,7438.0,
300,8583.8,
310,9860.5,
320,11279,
330,12852,
340,14594,
350,16521,
360,18655,
370,21030,
