Name,Temperature,State,Dynamic viscosity,
"Methane (CH4)","25","Gas","11.1",
"Ethane (C2H6)","25","Gas","9.4",
"Propane (C3H8)","25","Gas","8.2",
"Butane (C4H10)","25","Gas","7.5",
"Pentane (C5H12)","20","Liquid","224",
"Hexane (C6H14)","20","Liquid","306",
"Heptane (C7H16)","20","Liquid","409",
"Octane (C8H18)","20","Liquid","542",
"Nonane (C9H20)","25","Liquid","669",
"Decane (C10H22)","20","Liquid","930",
"Undecane (C11H24)","25","Liquid","1098",
"Dodecane (C12H26)","25","Liquid","1390",
"Tridecane (C13H28)","25","Liquid","1724",
"Tetradecane (C14H30)","25","Liquid","2130",
"Pentadecane (C15H32)","25","Liquid","2558",
"Hexadecane (C16H34)","20","Liquid","3474",
"Heptadecane (C17H36)","25","Liquid","3607",
