Name,Dynamic viscosity,
"Ethene (C2H4)","0.0104",
"Propene (C3H6)","0.0078",
"Butene (C4H8)","0.0078",
"Pentene (C5H10)","0.201",
"Hexene (C6H12)","0.253",
"Heptene (C7H14)","0.332",
"Octene (C8H16)","0.447",
"Nonene (C9H18)","0.584",
"Decene (C10H20)","0.758",
"Dodecene (C12H24)","1.197",
"Tridecene (C13H26)","1.506",
"Tetradecene (C14H28)","1.851",
"Pentadecene (C15H30)","2.219",
"Hexadecene (C16H32)","2.698",
"Heptadecene (C17H34)","3.194",
"Octadecene (C18H36)","3.69",
"Nonadecene (C19H38)","4.518",
