Name,Temperature,Dynamic viscosity,
"Dimethyl Ether (C2H6O)","25","9.16×10-3",
"Diethyl Ether (C4H10O)","20","0.2448",
"Methoxypropane (C4H10O)","25","0.243",
"Ethyl Propyl Ether (C5H12O)","25","0.306",
"Methyl tert-butyl ether (C5H12O)","25","0.333",
"Tetrahydrofuran (C4H8O)","20","0.53",
"Dioxane (C4H8O2)","25","1.211",
"Anisole (C7H8O)","25","1.001",
"Dibutyl ether (C8H18O)","25","0.620",
"Dipentyl ether (C10H22O)","25","0.704",
"Methoxyethane (C3H8O)","25","8.989×10-3",
"1,2-Dimethoxyethane (C4H10O2)","25","0.446",
"Vinyl ether (C4H6O)","25","0.256",
"Phenetole (C8H10O)","25","1.155",
"Diphenyl ether (C12H10O)","27","3.49",
