Liquid,Thermal expansion,
iline,,
Anisole,,
Benzene,,
Bromobenzene,,
1-Bromobutane,,
Bromoethane,,
1-Bromopentane,,
Butyl iodide,,
Carbon disulfide,,
Carbon tetrachloride,,
Chlorobenzene,,
Chloroform,,
1-Chloropropane,,
Cyclohexane,,
Cyclopentane,,
Decane,,
Dibutyl phthalate,,
1,1-Dichloroethane,,
1,2-Dichloroethane,,
Dichloromethane,,
Diethylene glycol,,
Diethyl ether,,
2,3-Dimethylbutane,,
Dodecane,,
Ethanol,,
Ethyl acetate,,
Ethylene glycol,,
Glycerol,,
Heptane,,
Hexane,,
1-Hexanol,,
Mercury,,
Methanol,,
Nitrobenzene,,
Nonane,,
Octane,,
1-Octanol,,
Pentane,,
Phosphorus trichloride,,
1,3-Propanediol,,
Propylene glycol,,
Tetradecane,,
Toluene,,
Triacetin,,
Tribromomethane,,
Trichloroethylene,,
Tridecane,,
Undecane,,
m-Xylene,,
o-Xylene,,
p-Xylene,,
Water,,
