Material,Yield strength,Ultimate strength,
Acrylic,50 - 100,80 - 150,
Aluminum,50 - 250,120 - 570,
Aluminum alloys,100 - 550,200 - 800,
Beryllium,100 - 300,200 - 400,
Brass,200 - 550,350 - 800,
Bronze,200 - 600,450 - 900,
Carbon fiber,1500 - 2500,2000 - 4000,
Chromium,200 - 400,400 - 800,
Cobalt,200 - 500,400 - 800,
Copper,100 - 450,200 - 600,
Glass fiber,1000 - 2000,2000 - 4000,
Gold,80 - 200,100 - 250,
Graphene,130 - 200,150 - 300,
Iridium,200 - 400,400 - 600,
Iron,200 - 500,400 - 800,
Lead,5 - 30,10 - 40,
Magnesium,50 - 200,150 - 350,
Manganese,100 - 300,200 - 500,
Molybdenum,200 - 600,400 - 800,
Nickel,100 - 500,200 - 800,
Niobium,100 - 300,200 - 500,
Nylon,50 - 100,100 - 250,
Palladium,50 - 200,100 - 250,
Polyethylene Terephthalate (PET),50 - 100,100 - 250,
Platinum,50 - 200,100 - 250,
Polycarbonate,50 - 100,70 - 120,
Polyethylene (PE),20 - 40,30 - 50,
Polypropylene,20 - 40,30 - 50,
Polytetrafluoroethylene (PTFE),20 - 40,30 - 50,
Polyvinyl Chloride (PVC),40 - 80,50 - 100,
Rhodium,100 - 200,200 - 400,
Rubber,10 - 30,20 - 40,
Silicon,10 - 30,20 - 40,
Silver,50 - 150,100 - 250,
Stainless steel,200 - 600,500 - 1000,
Steel,250 - 550,400 - 800,
Steel alloys,350 - 1500,550 - 2000,
Tin,5 - 30,15 - 50,
Titanium,300 - 900,600 - 1000,
Tungsten,400 - 1000,600 - 1200,
Vanadium,200 - 500,400 - 800,
Zinc,100 - 200,200 - 300,
Zirconium,100 - 300,200 - 500,
