Material,Young’s modulus,
"Aluminum","70",
"Basalt","80 - 110",
"Brass","100 - 125",
"Carbon Fiber Reinforced Polymer","70 - 400",
"Cast Iron","100 - 220",
"Concrete","20 - 40",
"Copper","110 - 128",
"Diamond","1220",
"Glass","50",
"Gold","79",
"Granite","50 - 80",
"Graphene","1000 - 1300",
"Iron","210",
"Lead","16",
"Magnesium","45",
"Manganese","190",
"Marble","60",
"Nickel","170 - 220",
"Nylon","2.5 - 4",
"Paper","0.5 - 4",
"Platinum","168",
"Plexiglas","3.2 - 3.5",
"Polyethylene","0.1 - 1.2",
"Polypropylene","1 - 1.5",
"Polystyrene","3 - 3.5",
"Quartz","70",
"Rubber","0.01 - 0.1",
"Silicon","130",
"Silver","83",
"Stainless Steel","195",
"Steel","200 - 210",
"Titanium (Ti)","110",
"Tungsten","410",
"Wood","10 - 20",
"Zinc","108",
