Trade name,UNS number,Young’s modulus,

Alloy 200,N02200,207,
Alloy 201,N02201,207,
Alloy 270,N02270,207,
HASTELLOY® B2,N10665,217,
HASTELLOY® B3,N10675,216,
HASTELLOY® C4,N06455,211,
HASTELLOY® C22,N06022,206,
HASTELLOY® C276,N10276,205,
HASTELLOY® C2000,N06200,209,
HASTELLOY® G3,N06985,199,
HASTELLOY® G30,N06030,202,
HASTELLOY® HX,N06920,205,
HASTELLOY® N,N10003,219,
HASTELLOY® S,N06635,212,
HASTELLOY® X,N06002,205,
HAYNES® 214,N07214,218,
HAYNES® 230,N06230,210,
HAYNES® 242,N10242,229,
HAYNES® 263,N07263,221,
HAYNES® 282,N07208,216,
HAYNES® 556,R30556,205,
HAYNES® HR-120,N08120,197,
HAYNES® HR-160,N12160,211,
INCOLOY® 800,N08800,193,
INCOLOY® 800HT,N08811,193,
INCOLOY® 825,N08825,206,
INCOLOY® 909,N19909,159,
INCOLOY® 925,N09925,199,
INCONEL® 600,N06600,214,
INCONEL® 601,N06601,206,
INCONEL® 601GC,N06601,205,
INCONEL® 603XL,N06603,219,
INCONEL® 617,N06617,211,
INCONEL® 625,N06625,208,
INCONEL® 625LCF,N06626,208,
INCONEL® 686,N06686,207,
INCONEL® 690,N06690,211,
INCONEL® 693,N06693,196,
INCONEL® 718,N07718,216,
INCONEL® 718SPF,NO7718,216,
INCONEL® 725,N07725,204,
INCONEL® 740,N07740,221,
INCONEL® 751,N07751,214,
INCONEL® 783,R30783,178,
INCONEL® MA754,N07754,203,
INCONEL® MA758,,205,
INCONEL® X-750,N07750,207,
Invar® 36,K93601,140,
Invar® 42,K94100,144,
Invar® 48,K94800,160,
Invar® K,K94610,130,
MONEL® 400,N04400,179,
MONEL® 401,N04401,169,
MONEL® 404,N04404,169,
MONEL® K-500,N05500,180,
MONEL® R-405,N04405,180,
NIMONIC® 75,N06075,221,
NIMONIC® 80A,N07080,222,
NIMONIC® 81,N07081,212,
NIMONIC® 90,N07090,226,
NIMONIC® 91,,222,
NIMONIC® 105,N07105,223,
NIMONIC® 115,N07115,216,
NIMONIC® 263,N07263,224,
NIMONIC® 901,N09901,201,
NIMONIC® PE11,,200,
NIMONIC® PE16,,198,
NIMONIC® PK33,,221,
René® 41,N07041,218,
