Trade name,UNS number,Composition,Young’s modulus,
Grade 1,R50250,,105,
Grade 2,R50400,,105,
Grade 3,R50550,,105,
Grade 4,R50700,,105,
Grade 5,R56400,Ti-6Al-4V,106 - 114,
Grade 6,R54520,Ti-5Al-2.5Sn,110 - 125,
Grade 7,R52400,Ti-0.2Pd,105,
Grade 9,R56320,Ti-3Al-2.5V,91 - 107,
Grade 10,R58030,Ti-11.5Mo-6Zr-4.5Sn,108,
Grade 11,R52250,Ti-0.2Pd,105,
Grade 12,R53400,Ti-0.3Mo-0.8Ni,105,
Grade 16,R52402,Ti-0.06Pd,103,
Grade 17,R52252,Ti-0.06Pd,103,
Grade 18,R56322,Ti-3Al-2.5V-0.06Pd,91 - 107,
Grade 19,R58153,Ti-8V-6Cr-4Mo-4Zr-3Al,103,
Grade 20,R58645,Ti-8V-6Cr-4Zr-4Mo-3Al-0.05Pd,103,
Grade 21,R58210,Ti-15Mo-3Al-2.7Nb-0.25Si,96 - 103,
Grade 23,R56401,Ti-6Al-4V (ELI),106 - 114,
Grade 30,R53530,,110,
Grade 31,R53532,,110,
Grade 36,R58450,Ti-45Nb,62,
Timetal® 17,R58650,Ti-5Al-2Sn-4Mo-2Zr-4Cr,109,
Timetal® 10-2-3,R56410,Ti-10V-2Fe-3Al,112,
Timetal® 1100,,Ti-6Al-4Zr-2.7Sn-0.4Mo-0.45Si,120,
Timetal® 15-3,R58153,Ti-15V-3Al-3Sn-3Cr,82 - 111,
Timetal® 21S,R58210,Ti-15Mo-3Nb-3Al-0.2Si,83,
Timetal® 367,R56700,Ti-6Al-7Nb,105 - 120,
Timetal® 550,,Ti-4Al-4Mo-2Sn-0.5Si,110 - 130,
Timetal® 551,,Ti-4Al-4Mo-4Sn-0.5Si,113 - 130,
Timetal® 6-2-4-2,R54620,Ti-6Al-2Sn-4Z r-2Mo,115,
Timetal® 6-2-4-6,R56260,Ti-6Al-2Sn-4Zr-6Mo,115,
Timetal® 62S,,Ti-6Al-2Fe-0.1Si,128,
Timetal® 6-6-2,R56620,Ti-6Al-6V-2Sn,115,
Timetal® 679,,Ti-11Sn-5Zr-2.25Al-1Mo-0.2Si,105 - 110,
Timetal® 685,,Ti-6Al-5Zr-0.5Mo-0.25Si,125,
Timetal® 8-1-1,R54810,Ti-8Al-1Mo-1V,124,
Timetal® 8-2-9,,Ti-5.5Al-3.5Sn-3Zr-1Nb-0.25Mo-0.3Si,120,
Timetal® 834,,Ti-5.8Al-4Sn-3.5Zr-0.7Nb-0.5Mo-0.35Si-0.06C,120,
Timetal® 230,,Ti-2.5Cu,105 - 125,
