Name,Young’s modulus,
Acrylonitrile butadiene-styrene (ABS),2.0 - 2.6,
Butyl rubber (IIR),0.3 - 3.4,
Casein formaldehyde (GAT),3.5 - 3.9,
Cellulose acetate (CA),1.0 - 4.0,
Cellulose acetate butyrate (CAB),0.3 - 2.0,
Cellulose acetate propionate (CAP),0.3 - 1.4,
Cellulose nitrate (CN),1.0 - 2.8,
Chlorinated polyvinyl chloride (CPVC),2.5 - 3.3,
Epoxy resin,1.5 - 3.6,
Ethylene tetrafluoroethylene (ETFE),1.5,
Ethylene chlorotrifluoroethylene (ECTFE),1.6,
Melamine formaldehyde (MF),7 - 10,
Natural rubber,3.3 - 5.9,
Nylon 6 (PA6),1.1 - 16,
Nylon 11 (PA11),0.4 - 1.5,
Nylon 46 (PA46),1.0 - 16,
Nylon 66 (PA66),1.6 - 23,
Nylon 612 (PA612),1.7 - 2.2,
Perfluorinated alkoxy (PFA),0.7,
Polyamide-imide (PAI),4.0 - 8.3,
Polybenzeneimidazole (PBI),6,
Polybutadiene (BR),2.1 - 10,
Polybutylene terephthalate (PBT),2.6 - 8.7,
Polybutylene (PB),0.3,
Polycarbonate (PC),2.3 - 2.4,
Polyether ether ketone (PEEK),4.0 - 24,
Polyetherimide (PEI),2.9,
Polyethersulfone (PESU),2.4 - 2.6,
High-density polyethylene (HDPE),0.4 - 1.2,
Low-density polyethylene (LDPE),0.1 - 1.9,
Polyethylene naphthalate (PEN),5.0 - 5.5,
Polyethylene terephthalate (PET),3 - 11,
Polyhydroxybutyrate (PHB),1.3,
Polymethyl methacrylate (PMMA),3.2,
Polymethylpentene (PMP),1.1,
Polyoxymethylene (POM),2.9 - 3.2,
Polyphenylene oxide (PPO),2.5,
High-impact polystyrene (HIPS),1.6 - 2.4,
Polystyrene (PS),1.9 - 2.9,
Polysulfone (PSU),2.5,
Polytetrafluoroethylene (PTFE),0.5 - 0.8,
Polytrifluorochloroethylene (PTFCE),1.3,
Polyvinyl acetate (PVA),0.6,
Polyvinylidene chloride (PVDC),0.3 - 0.6,
Polyvinylidene fluoride (PVDF),1.0 - 3.0,
Polyvinyl fluoride (PVF),4.4 - 11,
Polyvinyl chloride (PVC),2.1 - 2.7,
Unsaturated polyester (UP),5.5,
