Metal,Young’s modulus,
Actinium (Ac),25,
Aluminum (Al),70.2,
Antimony (Sb),54.7,
Barium (Ba),12.8,
Beryllium (Be),318,
Bismuth (Bi),34,
Cadmium (Cd),62.6,
Calcium (Ca),19.6,
Cerium (Ce),33.6,
Cesium (Cs),1.69,
Chromium (Cr),279,
Cobalt (Co),211,
Copper (Cu),129.8,
Dysprosium (Dy),61.4,
Erbium (Er),69.9,
Europium (Eu),18.2,
Gadolinium (Gd),54.8,
Gallium (Ga),9.81,
Gold (Au),78.5,
Hafnium (Hf),141,
Holmium (Ho),64.8,
Indium (In),10.6,
Iridium (Ir),528,
Iron (Fe),208.2,
Lanthanum (La),36.6,
Lead (Pb),16.1,
Lithium (Li),4.91,
Lutetium (Lu),68.6,
Magnesium (Mg),44.7,
Manganese (Mn),191,
Molybdenum (Mo),324.8,
Neodymium (Nd),41.4,
Neptunium (Np),68,
Nickel (Ni),199.5,
Niobium (Nb),104.9,
Osmium (Os),558.6,
Palladium (Pd),121,
Platinum (Pt),172.4,
Plutonium (Pu),87.5,
Polonium (Po),26,
Potassium (K),3.175,
Praseodymium (Pr),37.3,
Promethium (Pm),46,
Protactinium (Pa),76,
Radium (Ra),13.2,
Rhenium (Re),520,
Rhodium (Rh),379,
Rubidium (Rb),2.35,
Ruthenium (Ru),432,
Samarium (Sm),49.7,
Scandium (Sc),74.4,
Silver (Ag),82.7,
Sodium (Na),6.8,
Strontium (Sr),15.7,
Tantalum (Ta),185.7,
Technetium (Tc),407,
Terbium (Tb),55.7,
Thallium (Tl),7.9,
Thorium (Th),78.3,
Thulium (Tm),74,
Tin (Sn),49.9,
Titanium (Ti),120.2,
Tungsten (W),411,
Uranium (U),177,
Vanadium (V),127.6,
Ytterbium (Yb),23.9,
Yttrium (Y),63.5,
Zinc (Zn),104.5,
Zirconium (Zr),97.1,
